user_id,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),1,3,4
166,200.37793,851.11,122.72,1.3,18373.97,718,5443.89,63,0,0,1
167,162.55346,342.81,135.72,1.82,1715.36,3661,722.96,295,0,0,0
168,661.11584,1057.29,144.0,1.57,5493.31,1346,1615.08,77,0,0,1
169,114.89974,730.88,73.41,0.94,10632.89,872,2496.12,67,0,0,0
170,127.20035,1743.78,114.22,8.47,1811.71,4275,1340.45,60,1,1,0
171,402.27899,3908.88,353.31,0.33,5427.15,1695,1635.82,182,0,0,0
172,662.58743,1190.57,50.19,2.92,2311.07,2301,592.46,523,0,1,0
173,222.90802,2196.63,161.33,4.96,6639.52,1622,793.27,125,0,0,0
174,197.31715,76.18,83.45,0.49,5232.21,1096,2870.65,80,0,0,0
175,118.42925,1614.98,88.33,0.53,2051.19,2901,1524.64,67,0,0,0
176,141.62627,2172.7,51.95,2.99,15083.35,1558,1542.65,96,0,0,0
177,265.28787,2783.55,297.82,0.5,13782.0,1053,1225.45,113,0,0,0
178,603.18846,3430.17,282.59,0.93,4446.76,1418,2509.8,255,0,0,0
179,519.07016,4344.0,301.39,0.4,13444.5,1118,8174.97,47,0,0,0
180,109.53055,2720.64,110.23,1.13,4754.25,2772,1290.31,111,0,0,0
181,244.6757,1600.86,1951.51,0.69,2876.91,1058,2997.28,57,0,0,0
182,117.22304,504.27,109.0,3.05,800.35,3575,458.3,223,0,0,0
183,539.25519,420.27,52.51,5.97,4325.83,3312,1238.09,253,0,1,1
184,391.84413,674.05,72.72,3.05,6226.34,3308,653.74,130,0,0,0
185,144.94069,4299.5,13.97,0.15,19682.64,1371,5642.71,58,0,0,0
186,399.42999,4473.16,132.89,0.98,4125.98,2194,1720.03,76,0,0,0
187,755.47878,424.65,42.46,0.69,1207.77,3608,225.2,650,1,0,0
188,458.05285,155.93,26.43,1.84,477.79,3330,716.38,682,0,0,0
189,187.07133,1143.58,53.02,1.06,7421.63,920,3672.51,69,0,0,0
190,824.6195,1465.5,151.7,2.32,4617.09,1312,3148.61,188,0,0,0
191,162.99205,970.73,172.97,3.45,3039.86,3577,1177.12,199,0,1,1
192,171.60923,1201.12,528.39,0.39,3237.94,2010,1180.1,124,0,0,0
193,614.18835,1994.3,164.1,1.26,3660.15,2353,3170.4,72,0,0,0
194,372.1625,3112.07,58.27,0.43,4109.85,4516,1672.64,149,0,0,0
195,312.69444,1644.96,50.68,1.95,3940.25,1060,2961.89,35,0,0,0
196,707.04507,281.43,203.18,0.74,5864.98,1743,1697.11,68,1,1,1
197,136.8775,1299.81,168.83,1.96,2004.88,7716,3574.27,71,0,0,0
198,325.62719,207.94,92.51,0.91,5451.41,1603,2420.94,328,1,0,0
199,231.7499,371.53,76.67,2.31,5681.52,1940,2085.46,67,0,1,0
200,410.42906,584.55,34.33,0.34,3360.21,1216,2379.27,129,0,1,0
201,373.58745,1921.92,198.55,0.68,3407.53,1933,3673.08,143,1,0,0
202,825.33039,832.71,181.23,3.65,2164.55,2807,929.74,180,1,0,1
203,128.54965,658.89,27.85,3.15,3538.03,2538,387.69,127,0,1,0
204,504.89591,1202.62,315.73,0.58,1493.12,6415,1630.55,136,1,0,0
205,649.93851,244.05,132.84,1.55,1327.9,2293,1038.16,248,0,0,0
206,553.19073,17059.56,131.01,0.49,33968.46,1130,1897.47,138,1,0,0
207,342.73753,7238.46,279.59,0.77,9196.58,952,2649.02,700,0,1,0
208,445.55832,7145.12,135.99,0.41,6830.29,1188,3297.66,99,0,0,0
209,242.92679,2582.21,171.94,1.07,11622.84,1268,8289.42,63,1,0,0
210,578.33399,5516.66,390.97,0.48,9939.9,994,3128.41,71,0,0,0
211,131.03938,2319.17,108.34,1.69,2593.98,1712,271.04,134,0,0,1
212,298.91963,316.03,37.07,1.95,615.07,2692,536.89,390,0,0,1
